,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash,penalty,total_trades,total_trading_costs
0,20_103007_102124_7,Directional,0.010531808517867775,104091.85,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Infeasible,7.89328145980835,1671.469999999996,,11,77
1,20_103007_102124_7,DirectionalIncentive_0,0.016436261613288303,104700.04999999999,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,16.217885732650757,30.32999999997446,0.0,46,322
2,20_103007_102124_7,DirectionalIncentive_25.0,0.008335744172725978,103865.63999999998,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,15.977147579193115,335.0699999999938,0.25,24,168
3,20_103007_102124_7,DirectionalIncentive_50.0,0.008335744172725978,103865.63999999998,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,14.0144944190979,335.0699999999938,0.5,24,168
4,20_103007_102124_7,DirectionalIncentive_75.0,0.008021299523333225,103833.24999999999,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,13.998103857040405,702.5299999999947,0.75,29,203
5,20_103007_102124_7,Naive,0.004825303134738495,103504.04000000001,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,3.5493624210357666,0.23999999999580268,,16,112
6,20_105931_104738_9,Directional,-0.07254505291180098,98246.23000000001,105931.0,20,0.0002350733655326871,105931,9,8.476497741331544,Complete,10.781660079956055,928.0200000000059,,25,225
7,20_105931_104738_9,DirectionalIncentive_0,-0.0240755774985603,103380.65000000001,105931.0,20,0.0002350733655326871,105931,9,8.476497741331544,Complete,24.70898747444153,13.670000000027358,0.0,52,468
8,20_105931_104738_9,DirectionalIncentive_25.0,-0.07258573977400384,98241.92,105931.0,20,0.0002350733655326871,105931,9,8.476497741331544,Complete,24.68621563911438,1017.940000000009,0.25,30,270
9,20_105931_104738_9,DirectionalIncentive_50.0,-0.0720974030264983,98293.65000000001,105931.0,20,0.0002350733655326871,105931,9,8.476497741331544,Complete,24.340935230255127,335.7300000000065,0.5,26,234
10,20_105931_104738_9,DirectionalIncentive_75.0,-0.0720974030264983,98293.65000000001,105931.0,20,0.0002350733655326871,105931,9,8.476497741331544,Complete,25.319934129714966,335.7300000000065,0.75,26,234
11,20_105931_104738_9,Naive,-0.07308719827057232,98188.8,105931.0,20,0.0002350733655326871,105931,9,8.476497741331544,Complete,4.53832221031189,0.03000000000520231,,17,153
12,20_133900_133194_6,Directional,0.02211560866318147,136861.28,133900.0,20,0.00028536623999062156,133900,6,7.4436193607055605,Infeasible,15.507452726364136,5688.1100000000115,,9,54
13,20_133900_133194_6,DirectionalIncentive_0,0.06670515309932791,142831.82,133900.0,20,0.00028536623999062156,133900,6,7.4436193607055605,Complete,22.65054154396057,3.6199999999953434,0.0,53,318
14,20_133900_133194_6,DirectionalIncentive_25.0,0.02239424943988048,136898.59,133900.0,20,0.00028536623999062156,133900,6,7.4436193607055605,Complete,19.571829795837402,766.7700000000123,0.25,24,144
15,20_133900_133194_6,DirectionalIncentive_50.0,0.022643913368185133,136932.02,133900.0,20,0.00028536623999062156,133900,6,7.4436193607055605,Complete,19.46034073829651,37.00000000001114,0.5,25,150
16,20_133900_133194_6,DirectionalIncentive_75.0,0.022643913368185133,136932.02,133900.0,20,0.00028536623999062156,133900,6,7.4436193607055605,Complete,19.37169647216797,37.00000000001114,0.75,25,150
17,20_133900_133194_6,Naive,0.021698282300224005,136805.4,133900.0,20,0.00028536623999062156,133900,6,7.4436193607055605,Complete,4.655352830886841,0.0400000000122418,,17,102
18,20_136604_136414_8,Directional,0.04055067933589067,142143.385,136604.0,20,0.00013260609244386616,136604,8,6.33688182006698,Infeasible,12.00617504119873,795.9399999999944,,10,80
19,20_136604_136414_8,DirectionalIncentive_0,0.012683010746391155,138336.55000000002,136604.0,20,0.00013260609244386616,136604,8,6.33688182006698,Infeasible,14.246561765670776,28.64999999999418,0.0,24,192
20,20_136604_136414_8,DirectionalIncentive_25.0,0.039628231969781054,142017.37499999997,136604.0,20,0.00013260609244386616,136604,8,6.33688182006698,Complete,12.803902864456177,124.13299999999515,0.25,23,184
21,20_136604_136414_8,DirectionalIncentive_50.0,0.04086560422828049,142186.40500000003,136604.0,20,0.00013260609244386616,136604,8,6.33688182006698,Complete,13.500075817108154,277.1629999999949,0.5,23,184
22,20_136604_136414_8,DirectionalIncentive_75.0,0.04086560422828049,142186.40500000003,136604.0,20,0.00013260609244386616,136604,8,6.33688182006698,Complete,12.851826429367065,277.1629999999949,0.75,23,184
23,20_136604_136414_8,Naive,0.04286345202190264,142459.319,136604.0,20,0.00013260609244386616,136604,8,6.33688182006698,Complete,3.659087896347046,0.14999999999278657,,19,152
24,20_175322_174598_4,Directional,-0.004036515668313174,174614.31,175322.0,20,0.0001710876479857784,175322,4,8.703723862210756,Infeasible,9.188507318496704,5087.399999999997,,12,48
25,20_175322_174598_4,DirectionalIncentive_0,-0.10785680062969857,156412.33,175322.0,20,0.0001710876479857784,175322,4,8.703723862210756,Infeasible,12.813376188278198,16.779999999969732,0.0,26,104
26,20_175322_174598_4,DirectionalIncentive_25.0,-0.0225744629917479,171364.19999936078,175322.0,20,0.0001710876479857784,175322,4,8.703723862210756,Infeasible,12.747371435165405,0.6499966538221997,0.25,37,148
27,20_175322_174598_4,DirectionalIncentive_50.0,-0.003023636508823851,174791.88999999998,175322.0,20,0.0001710876479857784,175322,4,8.703723862210756,Complete,12.673250436782837,1568.149999999997,0.5,24,96
28,20_175322_174598_4,DirectionalIncentive_75.0,-0.0035872851096840222,174693.06999999998,175322.0,20,0.0001710876479857784,175322,4,8.703723862210756,Complete,12.815349340438843,776.2799999999957,0.75,24,96
29,20_175322_174598_4,Naive,-0.003064304536795101,174784.76,175322.0,20,0.0001710876479857784,175322,4,8.703723862210756,Complete,3.6540050506591797,1.189999999994484,,16,64
30,20_189842_189531_7,Directional,0.034711128201346406,196431.63,189842.0,20,0.00012945619110612297,189842,7,8.595356924772862,Infeasible,8.876219034194946,6469.81,,14,98
31,20_189842_189531_7,DirectionalIncentive_0,0.09697306180929388,208251.55999999997,189842.0,20,0.00012945619110612297,189842,7,8.595356924772862,Complete,13.511187314987183,59.979999999961365,0.0,56,392
32,20_189842_189531_7,DirectionalIncentive_25.0,0.03417605166401528,196330.05,189842.0,20,0.00012945619110612297,189842,7,8.595356924772862,Complete,15.935445547103882,200.55000000000155,0.25,24,168
33,20_189842_189531_7,DirectionalIncentive_50.0,0.03418648138978744,196332.03000000003,189842.0,20,0.00012945619110612297,189842,7,8.595356924772862,Complete,13.080718278884888,401.8500000000012,0.5,28,196
34,20_189842_189531_7,DirectionalIncentive_75.0,0.03436842216158704,196366.57,189842.0,20,0.00012945619110612297,189842,7,8.595356924772862,Complete,12.87717056274414,218.29000000000087,0.75,27,189
35,20_189842_189531_7,Naive,0.03414455178516891,196324.07000000004,189842.0,20,0.00012945619110612297,189842,7,8.595356924772862,Complete,3.6945879459381104,0.11000000000376531,,17,119
36,20_202585_202461_9,Directional,0.004375595429079117,203471.43,202585.0,20,0.0002550922917863634,202585,9,8.620905752888229,Infeasible,10.711925506591797,9595.839999999987,,14,126
37,20_202585_202461_9,DirectionalIncentive_0,-0.03575634918676117,195341.3,202585.0,20,0.0002550922917863634,202585,9,8.620905752888229,Infeasible,13.772462368011475,62.29999999998836,0.0,22,198
38,20_202585_202461_9,DirectionalIncentive_25.0,0.0029869931140015073,203190.12,202585.0,20,0.0002550922917863634,202585,9,8.620905752888229,Complete,12.35459303855896,1275.6599999999646,0.25,31,279
39,20_202585_202461_9,DirectionalIncentive_50.0,0.004014018806920661,203398.18000000002,202585.0,20,0.0002550922917863634,202585,9,8.620905752888229,Complete,12.567801713943481,1492.7199999999857,0.5,28,252
40,20_202585_202461_9,DirectionalIncentive_75.0,0.004014018806920661,203398.18000000002,202585.0,20,0.0002550922917863634,202585,9,8.620905752888229,Complete,12.639827966690063,1492.7199999999857,0.75,28,252
41,20_202585_202461_9,Naive,0.0030777698250116256,203208.50999999998,202585.0,20,0.0002550922917863634,202585,9,8.620905752888229,Complete,3.8193676471710205,0.4499999999868578,,19,171
42,20_297453_296932_8,Directional,0.009642867948886198,300321.30000000005,297453.0,20,0.0003321573305460992,297453,8,9.860025151231701,Infeasible,8.279197216033936,674.4200000000346,,18,144
43,20_297453_296932_8,DirectionalIncentive_0,-0.09865928398772224,268106.50000000006,297453.0,20,0.0003321573305460992,297453,8,9.860025151231701,Infeasible,13.201120138168335,3.0000000000582077,0.0,20,160
44,20_297453_296932_8,DirectionalIncentive_25.0,0.014081485142190781,301641.5800000001,297453.0,20,0.0003321573305460992,297453,8,9.860025151231701,Complete,12.710354566574097,16.389999999984866,0.25,56,448
45,20_297453_296932_8,DirectionalIncentive_50.0,0.008471287900945883,299972.81000000006,297453.0,20,0.0003321573305460992,297453,8,9.860025151231701,Complete,12.538901567459106,1068.9000000000315,0.5,28,224
46,20_297453_296932_8,DirectionalIncentive_75.0,0.00802419205723279,299839.82000000007,297453.0,20,0.0003321573305460992,297453,8,9.860025151231701,Complete,12.478260040283203,935.9100000000311,0.75,28,224
47,20_297453_296932_8,Naive,0.008047826043106087,299846.85000000003,297453.0,20,0.0003321573305460992,297453,8,9.860025151231701,Complete,3.790996551513672,3.12000000003286,,18,144
48,20_325998_325057_5,Directional,0.007634479352634101,328486.825,325998.0,20,0.00019774267257094253,325998,5,8.563938361313856,Infeasible,11.215875148773193,67.4200000000049,,16,80
49,20_325998_325057_5,DirectionalIncentive_0,0.017880723194620876,331827.08,325998.0,20,0.00019774267257094253,325998,5,8.563938361313856,Complete,13.368272066116333,10.079999999989013,0.0,58,290
50,20_325998_325057_5,DirectionalIncentive_25.0,0.009882790691967493,329219.77,325998.0,20,0.00019774267257094253,325998,5,8.563938361313856,Complete,13.218072175979614,54.38500000000704,0.25,29,145
51,20_325998_325057_5,DirectionalIncentive_50.0,0.007682332406947425,328502.42500000005,325998.0,20,0.00019774267257094253,325998,5,8.563938361313856,Complete,13.494674444198608,323.4950000000045,0.5,24,120
52,20_325998_325057_5,DirectionalIncentive_75.0,0.007693590144724907,328506.09500000003,325998.0,20,0.00019774267257094253,325998,5,8.563938361313856,Complete,13.427763223648071,285.3750000000039,0.75,23,115
53,20_325998_325057_5,Naive,0.009317511150375307,329035.49000000005,325998.0,20,0.00019774267257094253,325998,5,8.563938361313856,Complete,3.847435474395752,2.840000000006171,,14,70
54,20_341573_341432_5,Directional,0.010050530926039039,345005.98999999993,341573.0,20,0.00016942457136676328,341573,5,5.242351163902916,Infeasible,11.509578227996826,2348.119999999963,,12,60
55,20_341573_341432_5,DirectionalIncentive_0,-0.038170727780005936,328534.91000000003,341573.0,20,0.00016942457136676328,341573,5,5.242351163902916,Infeasible,13.287803649902344,25.229999999976716,0.0,29,145
56,20_341573_341432_5,DirectionalIncentive_25.0,0.01022176811399022,345064.48,341573.0,20,0.00016942457136676328,341573,5,5.242351163902916,Complete,15.25500226020813,3.9799999999632973,0.25,21,105
57,20_341573_341432_5,DirectionalIncentive_50.0,0.010226686535528372,345066.16000000003,341573.0,20,0.00016942457136676328,341573,5,5.242351163902916,Complete,14.471157789230347,147.12999999996316,0.5,22,110
58,20_341573_341432_5,DirectionalIncentive_75.0,0.010223671074704396,345065.13,341573.0,20,0.00016942457136676328,341573,5,5.242351163902916,Complete,14.64780569076538,161.30999999996277,0.75,22,110
59,20_341573_341432_5,Naive,0.009819218732159688,344926.98,341573.0,20,0.00016942457136676328,341573,5,5.242351163902916,Complete,3.921236991882324,0.699999999964291,,17,85
60,20_344413_342723_9,Directional,0.03027475734075084,354840.02,344413.0,20,0.00022593391248032805,344413,9,9.004332116482034,Infeasible,9.715747117996216,26084.7,,16,144
61,20_344413_342723_9,DirectionalIncentive_0,0.03478997598813068,356395.12000000005,344413.0,20,0.00022593391248032805,344413,9,9.004332116482034,Complete,15.675662279129028,17.470000000035725,0.0,40,360
62,20_344413_342723_9,DirectionalIncentive_25.0,0.035953288638930665,356795.78,344413.0,20,0.00022593391248032805,344413,9,9.004332116482034,Complete,12.772874355316162,1685.3300000000017,0.25,26,234
63,20_344413_342723_9,DirectionalIncentive_50.0,0.030302834097435186,354849.68999999994,344413.0,20,0.00022593391248032805,344413,9,9.004332116482034,Infeasible,16.511292695999146,21561.730000000003,0.5,17,153
64,20_344413_342723_9,DirectionalIncentive_75.0,0.030302834097435186,354849.68999999994,344413.0,20,0.00022593391248032805,344413,9,9.004332116482034,Infeasible,20.639777183532715,21561.730000000003,0.75,17,153
65,20_344413_342723_9,Naive,0.035677457006558895,356700.77999999997,344413.0,20,0.00022593391248032805,344413,9,9.004332116482034,Complete,5.0358428955078125,2.0100000000056752,,17,153
66,20_347491_347281_5,Directional,0.048709405423449696,364417.07999999996,347491.0,20,0.0002868316317949674,347491,5,8.627440167501874,Infeasible,17.8139226436615,3558.8499999999885,,13,65
67,20_347491_347281_5,DirectionalIncentive_0,0.041811385043066245,362020.08000000013,347491.0,20,0.0002868316317949674,347491,5,8.627440167501874,Infeasible,22.447577953338623,5.250000000160654,0.0,23,115
68,20_347491_347281_5,DirectionalIncentive_25.0,0.04981734778742459,364802.07999999996,347491.0,20,0.0002868316317949674,347491,5,8.627440167501874,Complete,21.5844247341156,926.259999999945,0.25,40,200
69,20_347491_347281_5,DirectionalIncentive_50.0,0.0480168982793799,364176.44,347491.0,20,0.0002868316317949674,347491,5,8.627440167501874,Complete,23.415947437286377,94.199999999988,0.5,24,120
70,20_347491_347281_5,DirectionalIncentive_75.0,0.04799330054591323,364168.23999999993,347491.0,20,0.0002868316317949674,347491,5,8.627440167501874,Complete,23.616734504699707,85.99999999998795,0.75,24,120
71,20_347491_347281_5,Naive,0.0485867259871479,364374.45,347491.0,20,0.0002868316317949674,347491,5,8.627440167501874,Complete,5.016396999359131,0.41999999998733983,,17,85
72,21_107689_107522_4,Directional,0.02839816508649934,110747.17000000003,107689.0,21,0.0002454480316677595,107689,4,9.639358401874407,Infeasible,17.732900142669678,7638.560000000007,,14,56
73,21_107689_107522_4,DirectionalIncentive_0,0.15310421677237188,124176.63999999996,107689.0,21,0.0002454480316677595,107689,4,9.639358401874407,Complete,548.5694627761841,14693.639999999956,0.0,55,220
74,21_107689_107522_4,DirectionalIncentive_25.0,0.024677822247397587,110346.53,107689.0,21,0.0002454480316677595,107689,4,9.639358401874407,Complete,24.781424283981323,915.5300000000061,0.25,22,88
75,21_107689_107522_4,DirectionalIncentive_50.0,0.027950951350648713,110699.01000000001,107689.0,21,0.0002454480316677595,107689,4,9.639358401874407,Complete,22.23290514945984,1272.0100000000048,0.5,20,80
76,21_107689_107522_4,DirectionalIncentive_75.0,0.027950951350648713,110699.01000000001,107689.0,21,0.0002454480316677595,107689,4,9.639358401874407,Complete,22.73697257041931,1272.0100000000048,0.75,20,80
77,21_107689_107522_4,Naive,0.029122287327396565,110825.15000000001,107689.0,21,0.0002454480316677595,107689,4,9.639358401874407,Complete,5.213777542114258,0.960000000005266,,16,64
78,21_138440_136255_2,Directional,0.002204203987286869,138745.15,138440.0,21,0.00032017176981961876,138440,2,9.04050999245999,Infeasible,16.40034008026123,9352.429999999993,,10,20
79,21_138440_136255_2,DirectionalIncentive_0,0.058669748627564224,146562.24,138440.0,21,0.00032017176981961876,138440,2,9.04050999245999,Complete,31.738662004470825,77.7699999999586,0.0,49,98
80,21_138440_136255_2,DirectionalIncentive_25.0,0.05495600982375026,146048.11,138440.0,21,0.00032017176981961876,138440,2,9.04050999245999,Complete,22.690920114517212,89.43999999998417,0.25,45,90
81,21_138440_136255_2,DirectionalIncentive_50.0,-0.0019726235192140747,138166.91,138440.0,21,0.00032017176981961876,138440,2,9.04050999245999,Complete,21.911004066467285,445.0699999999964,0.5,24,48
82,21_138440_136255_2,DirectionalIncentive_75.0,0.003992198786477846,138992.68,138440.0,21,0.00032017176981961876,138440,2,9.04050999245999,Complete,22.178669452667236,86.36999999999486,0.75,25,50
83,21_138440_136255_2,Naive,0.012185423288067116,140126.95,138440.0,21,0.00032017176981961876,138440,2,9.04050999245999,Complete,5.387956142425537,0.11999999999716238,,15,30
84,21_140540_139681_4,Directional,0.021427707414259367,143551.45,140540.0,21,0.00047163645532444785,140540,4,8.856698103549453,Infeasible,17.56949257850647,7725.970000000016,,11,44
85,21_140540_139681_4,DirectionalIncentive_0,0.18342315355059086,166318.29000000004,140540.0,21,0.00047163645532444785,140540,4,8.856698103549453,Complete,25.114128351211548,29.910000000001816,0.0,49,196
86,21_140540_139681_4,DirectionalIncentive_25.0,0.023525828945495993,143846.32,140540.0,21,0.00047163645532444785,140540,4,8.856698103549453,Infeasible,23.040225982666016,4.000000000014012,0.25,18,72
