,experiment,horizon,forecast_model,policy,Gain,Final Value,Initial Value,num_stocks,initial_budget,trading_fee,status,total_runtime,forecast_time,solve_time,leftover_cash,penalty,total_trades,total_trading_costs
70,20191115_68_20_2_331693,68,GBM,Directional,0.07659997179556356,356748.9599999999,331366.30999999994,20,331693.23,2,Complete,356.4938006401062,1.8342645168304443,346.6918435096741,20.259999999952925,,30,60
71,20191115_68_20_2_331693,68,GBM,SeededDirectional,0.09637245560660673,363300.895,331366.30999999994,20,331693.23,2,Complete,92.54180788993835,1.602473258972168,82.8903181552887,7538.254999999979,,40,80
72,20191227_51_13_2_328945,51,GBM,Naive,-0.14368332202309725,280524.30000000005,327594.11,13,328945.24,2,Complete,7.0038416385650635,0.6685466766357422,0.13570022583007812,1.7100000000391447,,11,22
73,20191227_51_13_2_328945,51,GBM,Directional,-0.16498184292751772,273547.03,327594.11,13,328945.24,2,Complete,58.63390016555786,0.7173295021057129,51.78460502624512,3376.1900000000146,,29,58
74,20191227_51_13_2_328945,51,GBM,SeededDirectional,-0.15385771130012077,277191.23,327594.11,13,328945.24,2,Complete,24.45563316345215,0.7761571407318115,17.413451671600342,6288.339999999991,,25,50
75,20191227_74_23_9_252861,74,GBM,Naive,-0.10411770148463295,225704.08000000002,251934.96999999997,23,252861.14,9,Complete,11.753968715667725,2.1818532943725586,0.1563854217529297,0.999999999996362,,20,180
76,20191227_74_23_9_252861,74,GBM,Directional,-0.0950178532182333,227996.64999999997,251934.96999999997,23,252861.14,9,Complete,71.06526803970337,1.9485177993774414,60.06697916984558,22.319999999968786,,33,297
77,20191227_74_23_9_252861,74,GBM,SeededDirectional,-0.09971737944914895,226812.67500000002,251934.96999999997,23,252861.14,9,Complete,84.999596118927,2.0300209522247314,73.86725521087646,5531.025000000009,,31,279
78,20191231_33_32_8_230105,33,GBM,Naive,0.020683888383058166,235352.4500000001,230583.095,32,230105.38,8,Complete,5.042882442474365,0.7295043468475342,0.15369820594787598,2.2000000000334694,,30,240
79,20191231_33_32_8_230105,33,GBM,Directional,-0.003607744964998324,229751.21000000002,230583.095,32,230105.38,8,Infeasible,16.909480571746826,0.7226529121398926,11.979942798614502,32787.34000000003,,23,184
80,20191231_33_32_8_230105,33,GBM,SeededDirectional,0.00032990276238622433,230659.16500000007,230583.095,32,230105.38,8,Infeasible,17.40223979949951,0.7499186992645264,12.480437278747559,2752.0950000000503,,27,216
81,20200107_75_37_7_66995,75,GBM,Naive,-0.1062495282421008,59973.11000000001,67102.745,37,66995.0,7,Complete,12.701657056808472,3.060925245285034,0.19222378730773926,0.07500000000663931,,29,203
82,20200107_75_37_7_66995,75,GBM,Directional,-0.06063187131912395,63034.18000000001,67102.745,37,66995.0,7,Complete,480.7918019294739,3.3552331924438477,467.84962940216064,4703.840000000002,,41,287
83,20200107_75_37_7_66995,75,GBM,SeededDirectional,-0.0724379457204023,62241.96,67102.745,37,66995.0,7,Complete,1100.5316903591156,3.7186663150787354,1087.120747089386,2677.0100000000007,,44,308
84,20200217_66_24_3_224464,66,GBM,Naive,-0.20838504021421927,177719.68,224502.68,24,224464.11,3,Complete,11.140218019485474,2.360504627227783,0.1630265712738037,2.2899999999963256,,20,60
85,20200217_66_24_3_224464,66,GBM,Directional,-0.17277896192597803,185713.33999999997,224502.68,24,224464.11,3,Complete,75.1056740283966,2.127023935317993,64.32758712768555,11352.149999999987,,30,90
86,20200217_66_24_3_224464,66,GBM,SeededDirectional,-0.1655491150484263,187336.45999999996,224502.68,24,224464.11,3,Complete,217.8436644077301,1.901064395904541,207.17260909080505,5389.54999999998,,30,90
87,20200410_67_26_8_229267,67,GBM,Naive,0.24797212330711269,284546.3299999999,228006.96,26,229267.67,8,Complete,11.188622951507568,2.033378839492798,0.1790618896484375,0.06999999996560291,,22,176
88,20200410_67_26_8_229267,67,GBM,Directional,0.22180524664685644,278580.0999999999,228006.96,26,229267.67,8,Infeasible,41.9822199344635,2.0699920654296875,30.858720541000366,2833.7499999999627,,20,160
89,20200410_67_26_8_229267,67,GBM,SeededDirectional,0.19355913521236365,272139.79,228006.96,26,229267.67,8,Infeasible,41.39731693267822,2.1081535816192627,30.241793394088745,64446.70999999998,,19,152
90,20200424_51_12_3_60302,51,GBM,Naive,0.10500121209326536,68054.45000000003,61587.66999999999,12,60302.23,3,Complete,8.00097131729126,0.7057335376739502,0.18246841430664062,0.8900000000076034,,11,33
91,20200424_51_12_3_60302,51,GBM,Directional,0.08344356914297935,66726.76499999998,61587.66999999999,12,60302.23,3,Complete,25.576165199279785,0.7092864513397217,17.78861165046692,800.4049999999912,,16,48
92,20200424_51_12_3_60302,51,GBM,SeededDirectional,0.08133754694730305,66597.06,61587.66999999999,12,60302.23,3,Complete,26.382121086120605,0.7553131580352783,18.491228103637695,670.699999999993,,14,42
93,20200427_39_31_8_279175,39,GBM,Naive,0.11425683891081143,312710.02,280644.47,31,279175.75,8,Complete,6.6656012535095215,1.0429165363311768,0.15704965591430664,0.36999999999216016,,24,192
94,20200427_39_31_8_279175,39,GBM,Directional,0.06704201226555426,299459.43999999994,280644.47,31,279175.75,8,Infeasible,20.549901008605957,1.0176501274108887,14.012778759002686,31947.48999999994,,26,208
95,20200427_39_31_8_279175,39,GBM,SeededDirectional,0.08891178222752807,305597.07,280644.47,31,279175.75,8,Infeasible,19.396133422851562,0.9896430969238281,12.9010648727417,9774.989999999983,,24,192
96,20200429_80_15_4_114525,80,GBM,Naive,0.12941695251877056,126858.45,112322.06999999998,15,114525.11,4,Complete,13.309780836105347,1.8454298973083496,0.1939249038696289,1.01999999998975,,11,44
97,20200429_80_15_4_114525,80,GBM,Directional,0.10199633963298592,123778.51,112322.06999999998,15,114525.11,4,Complete,56.83819127082825,1.7928495407104492,43.698704957962036,1.5999999999876309,,16,64
98,20200429_80_15_4_114525,80,GBM,SeededDirectional,0.11500745134059612,125239.945,112322.06999999998,15,114525.11,4,Complete,55.537516593933105,1.8036737442016602,42.36226177215576,8197.555,,20,80
99,20200505_30_38_9_92030,30,GBM,Naive,0.09018107866358868,98625.15000000001,90466.76000000001,38,92030.17,9,Infeasible,5.224374055862427,0.7680132389068604,0.01978325843811035,388.4400000000023,,0,0
100,20200505_30_38_9_92030,30,GBM,Directional,0.029954455094887804,93176.6425,90466.76000000001,38,92030.17,9,Infeasible,16.185954332351685,0.789569616317749,10.975873708724976,14957.16249999999,,31,279
101,20200505_30_38_9_92030,30,GBM,SeededDirectional,0.09095246696134583,98694.93500000001,90466.76000000001,38,92030.17,9,Complete,20.660653591156006,0.7694132328033447,15.462849140167236,2514.7050000000027,,44,396
102,20200615_31_32_9_117082,31,GBM,Naive,0.04106331845963689,124581.57999999999,119667.62999999999,32,117082.64,9,Complete,5.500253438949585,0.6731204986572266,0.19711613655090332,0.05999999998584826,,24,216
103,20200615_31_32_9_117082,31,GBM,Directional,0.029881180065151985,123243.43999999997,119667.62999999999,32,117082.64,9,Complete,23.575839042663574,0.6586143970489502,18.319827556610107,3177.3599999999865,,41,369
104,20200615_31_32_9_117082,31,GBM,SeededDirectional,0.04318519552864865,124835.49999999997,119667.62999999999,32,117082.64,9,Complete,18.275202989578247,0.6622023582458496,13.027018785476685,57.939999999980046,,38,342
105,20200804_48_39_3_286571,48,GBM,Naive,-0.1490874954566946,247736.93,291142.66,39,286571.28,3,Complete,8.790539979934692,1.554445505142212,0.16988062858581543,0.08999999998150088,,36,108
106,20200804_48_39_3_286571,48,GBM,Directional,-0.061967146964996375,273101.38,291142.66,39,286571.28,3,Complete,79.51756548881531,1.6757113933563232,70.66831874847412,3.939999999998008,,50,150
107,20200804_48_39_3_286571,48,GBM,SeededDirectional,-0.17952616425226012,238874.93500000006,291142.66,39,286571.28,3,Infeasible,344.1418755054474,1.633133888244629,335.30149960517883,60.76500000003489,,33,99
108,20200805_65_15_8_338815,65,GBM,Naive,0.047085891235380456,358846.01,342709.2400000001,15,338815.9,8,Complete,11.216942548751831,1.1955196857452393,0.187852144241333,3.8200000000358614,,11,88
109,20200805_65_15_8_338815,65,GBM,Directional,0.031791089146005855,353604.34,342709.2400000001,15,338815.9,8,Complete,139.16498923301697,1.3968915939331055,128.0577428340912,11.550000000033833,,21,168
110,20200805_65_15_8_338815,65,GBM,SeededDirectional,0.04283432801520019,357388.9600000001,342709.2400000001,15,338815.9,8,Complete,46.53771686553955,1.4693093299865723,35.32108545303345,41.63000000005741,,17,136
111,20200825_65_10_6_210959,65,GBM,Naive,0.16147991161069825,244996.80000000002,210935.03000000003,10,210959.84,6,Complete,11.180747985839844,1.0679285526275635,0.19791841506958008,6.840000000037435,,7,42
112,20200825_65_10_6_210959,65,GBM,Directional,0.141002042192802,240677.3,210935.03000000003,10,210959.84,6,Complete,46.57399344444275,1.046522617340088,35.64959979057312,7823.830000000017,,17,102
113,20200825_65_10_6_210959,65,GBM,SeededDirectional,0.14672916110709514,241885.34999999998,210935.03000000003,10,210959.84,6,Complete,51.241575956344604,0.9045670032501221,40.30910134315491,19.760000000020227,,13,78
114,20201030_38_25_7_63797,38,GBM,Naive,0.136612418940876,74297.41,65367.409999999996,25,63797.16,7,Complete,6.908010482788086,0.7631642818450928,0.17141985893249512,6.07000000000636,,14,98
115,20201030_38_25_7_63797,38,GBM,Directional,0.1225899878854005,73380.8,65367.409999999996,25,63797.16,7,Complete,61.823469161987305,0.8011474609375,55.006109952926636,5016.120000000007,,30,210
116,20201030_38_25_7_63797,38,GBM,SeededDirectional,0.15573899899047572,75547.66500000001,65367.409999999996,25,63797.16,7,Complete,35.166786670684814,0.782611608505249,28.37569308280945,21.22500000000923,,32,224
117,20210105_66_30_9_256084,66,GBM,Naive,0.08710300705583827,278354.6599999999,256051.77999999997,30,256084.22,9,Complete,12.773427724838257,2.1210274696350098,0.1741795539855957,1.4299999999091142,,29,261
118,20210105_66_30_9_256084,66,GBM,Directional,0.14341534747385887,292773.53500000003,256051.77999999997,30,256084.22,9,Complete,97.52295541763306,2.0769708156585693,85.05490016937256,20.145000000013397,,47,423
119,20210105_66_30_9_256084,66,GBM,SeededDirectional,0.1539702633584508,295476.1400000001,256051.77999999997,30,256084.22,9,Complete,112.35542893409729,2.034766674041748,99.8747787475586,8.240000000045256,,49,441
120,20210209_33_13_4_124638,33,GBM,Naive,0.014293452641156414,126710.64000000004,124925.03,13,124638.5,4,Complete,5.907698392868042,0.38589978218078613,0.17437005043029785,4.590000000032887,,7,28
121,20210209_33_13_4_124638,33,GBM,Directional,-0.03762064335705979,120225.27,124925.03,13,124638.5,4,Complete,357.90713715553284,0.47091031074523926,352.05251836776733,486.8800000000124,,17,68
122,20210209_33_13_4_124638,33,GBM,SeededDirectional,-0.03872682680164253,120087.08,124925.03,13,124638.5,4,Complete,32.13070344924927,0.37852025032043457,26.334787130355835,1530.2500000000043,,15,60
123,20210303_45_15_2_124007,45,GBM,Naive,0.10552889421707086,135300.00999999998,122384.87000000001,15,124007.74,2,Complete,8.140497922897339,0.654266357421875,0.1746959686279297,0.44999999999345164,,13,26
124,20210303_45_15_2_124007,45,GBM,Directional,0.0949512795168223,134005.46999999997,122384.87000000001,15,124007.74,2,Complete,35.24864864349365,0.6372213363647461,27.167502641677856,13.489999999994325,,22,44
125,20210303_45_15_2_124007,45,GBM,SeededDirectional,0.08615664665084805,132929.13999999998,122384.87000000001,15,124007.74,2,Infeasible,27.634777545928955,0.596937894821167,19.667407274246216,36.5999999999849,,21,42
126,20210312_79_24_2_222798,79,GBM,Naive,0.06220906427892604,239531.32,225502.99,24,222798.06,2,Complete,15.216458320617676,2.0859968662261963,0.20164895057678223,4.989999999994325,,22,44
127,20210312_79_24_2_222798,79,GBM,Directional,0.04498237473480939,235646.64999999997,225502.99,24,222798.06,2,Complete,385.9005219936371,2.397604465484619,370.4016788005829,1794.9599999999764,,39,78
128,20210312_79_24_2_222798,79,GBM,SeededDirectional,0.07364605232063663,242110.395,225502.99,24,222798.06,2,Complete,724.8144602775574,2.742244005203247,708.7093925476074,8258.704999999987,,37,74
129,20210423_83_27_6_172412,83,GBM,Naive,0.01456961851184149,175161.64,172646.25,27,172412.2,6,Complete,17.833001375198364,3.4512574672698975,0.2119760513305664,2.4200000000237196,,25,150
130,20210423_83_27_6_172412,83,GBM,Directional,0.014369874816279113,175127.15500000003,172646.25,27,172412.2,6,Complete,166.43820786476135,3.226637125015259,148.95301508903503,49.275000000020555,,35,210
131,20210423_83_27_6_172412,83,GBM,SeededDirectional,0.0009477761607914088,172809.88000000003,172646.25,27,172412.2,6,Complete,1373.6032156944275,3.4816248416900635,1355.747676372528,59.9000000000201,,38,228
132,20210518_38_33_7_41839,38,GBM,Naive,-0.0065136259627924355,41077.85,41347.16999999999,33,41839.63,7,Complete,8.021871089935303,1.0715141296386719,0.22409749031066895,0.02999999999059355,,24,168
133,20210518_38_33_7_41839,38,GBM,Directional,-0.01672351457185568,40655.7,41347.16999999999,33,41839.63,7,Complete,361.51250529289246,1.2598445415496826,353.5186505317688,4.24999999999045,,37,259
134,20210518_38_33_7_41839,38,GBM,SeededDirectional,-0.009151291370122555,40968.79,41347.16999999999,33,41839.63,7,Complete,61.969711780548096,1.1587882041931152,54.053993940353394,2198.1999999999944,,36,252
135,20210602_40_38_7_287628,40,GBM,Naive,0.08481043321591568,310565.66,286285.64999999997,38,287628.89,7,Complete,8.744677782058716,1.3927834033966064,0.20972132682800293,0.6899999999923239,,33,231
136,20210602_40_38_7_287628,40,GBM,Directional,0.05890515294776393,303149.35,286285.64999999997,38,287628.89,7,Complete,211.758935213089,1.4297339916229248,203.19721126556396,400.0699999999629,,51,357
137,20210602_40_38_7_287628,40,GBM,SeededDirectional,0.06668301397572675,305376.04,286285.64999999997,38,287628.89,7,Complete,332.4737572669983,1.3205375671386719,324.10693883895874,78.11999999992895,,44,308
138,20210615_35_21_3_72743,35,GBM,Naive,0.0571350688367811,76243.52000000003,72122.78000000001,21,72743.47,3,Complete,7.121973991394043,0.7246246337890625,0.19752240180969238,1.3200000000251748,,14,42
139,20210615_35_21_3_72743,35,GBM,Directional,0.0562074839599919,76176.62000000004,72122.78000000001,21,72743.47,3,Complete,171.5652539730072,0.79219651222229,164.56642079353333,7453.240000000031,,28,84
140,20210615_35_21_3_72743,35,GBM,SeededDirectional,0.049385020932359906,75684.565,72122.78000000001,21,72743.47,3,Complete,33.36077094078064,0.7673022747039795,26.399174213409424,54.98499999999876,,29,87
