,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash,penalty
0,20_103007_102124_7,DirectionalIncentive_0.0,0.016304717144156305,104686.49999886811,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,150.79460048675537,0.5599988681047989,0.0
1,20_103007_102124_7,DirectionalIncentive_25.0,0.009259273002198854,103960.7699341375,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,15.05392861366272,4.889934137492631,0.25
2,20_103007_102124_7,DirectionalIncentive_50.0,0.009457511941992314,103981.1899326088,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,15.3440101146698,4.259932608791971,0.5
3,20_103007_102124_7,DirectionalIncentive_75.0,0.009173065344507932,103951.88994194173,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,15.839556455612183,12.849935005822985,0.75
4,20_103007_102124_7,DirectionalIncentive_100.0,0.009306648413086163,103965.64993308677,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,15.472761869430542,0.9699304608936714,1.0
5,20_103007_102124_7,DirectionalIncentive_125.0,0.009321599022156412,103967.18995047527,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,16.573837995529175,0.8099529473078704,1.25
6,20_103007_102124_7,DirectionalIncentive_150.0,0.009005406927279537,103934.61995135828,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,17.562371253967285,8.97994873162786,1.5
7,20_103007_102124_7,DirectionalIncentive_175.0,0.009144814955808203,103948.97995415294,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,17.38318157196045,7.17995159398539,1.75
8,20_103007_102124_7,DirectionalIncentive_200.0,0.009316162533318583,103966.62995406955,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,16.55608034133911,0.8199540695411542,2.0
9,20_103007_102124_7,Naive,0.005742231004950587,103598.48998912695,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,4.966586589813232,2.1699891269489626,
10,21_333363_332427_2,DirectionalIncentive_0.0,0.044107114466812605,348066.68000000005,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,86.20023965835571,1.4800000000504951,0.0
11,21_333363_332427_2,DirectionalIncentive_25.0,-0.010687328846081062,329800.2399938839,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,27.408523559570312,1.009993883828784,0.25
12,21_333363_332427_2,DirectionalIncentive_50.0,-0.011001430878153607,329695.5299981661,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,15.767968893051147,4.469998166061689,0.5
13,21_333363_332427_2,DirectionalIncentive_75.0,-0.011112870958664266,329658.3799986068,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,15.237221002578735,3.5599986067865146,0.75
14,21_333363_332427_2,DirectionalIncentive_100.0,-0.011111671065454692,329658.7799986068,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,15.46859073638916,3.9599986067865203,1.0
15,21_333363_332427_2,DirectionalIncentive_125.0,-0.011037877633600352,329683.3799984301,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,15.621344566345215,2.6599984301379855,1.25
16,21_333363_332427_2,DirectionalIncentive_150.0,-0.011090942910533667,329665.68999851577,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,15.03836464881897,3.349998515752894,1.5
17,21_333363_332427_2,DirectionalIncentive_175.0,-0.011111671065454692,329658.7799986068,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,15.144220113754272,3.9599986067865203,1.75
18,21_333363_332427_2,DirectionalIncentive_200.0,-0.011004220628545301,329694.59999860625,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,15.15315842628479,0.20999860625821754,2.0
19,21_333363_332427_2,Naive,-0.012612197514421223,329158.56,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,4.985586404800415,0.470000000030268,
20,23_296293_295911_5,DirectionalIncentive_0.0,0.11495148383525788,330352.32000000007,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,79.04115295410156,0.1600000001162698,0.0
21,23_296293_295911_5,DirectionalIncentive_25.0,0.20572774242464517,357248.6899862254,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,15.870930194854736,10.489986225350181,0.25
22,23_296293_295911_5,DirectionalIncentive_50.0,0.03796468358536656,307541.669993559,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,17.30237579345703,4.809993559018242,0.5
23,23_296293_295911_5,DirectionalIncentive_75.0,0.037544086350347,307417.04997700336,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,15.105828523635864,11.979965959701445,0.75
24,23_296293_295911_5,DirectionalIncentive_100.0,0.037544086350347,307417.04997700336,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,15.186233043670654,11.979965959701445,1.0
25,23_296293_295911_5,DirectionalIncentive_125.0,0.037262979522102314,307333.75999154226,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,16.229033708572388,2.0099915422511856,1.25
26,23_296293_295911_5,DirectionalIncentive_150.0,0.03722875664226069,307323.61999180535,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,16.64169454574585,0.1599918053763547,1.5
27,23_296293_295911_5,DirectionalIncentive_175.0,0.03734033538436883,307356.6799920408,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,15.713244915008545,2.3399920408011354,1.75
28,23_296293_295911_5,DirectionalIncentive_200.0,0.03712845054264847,307293.89999663294,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,15.739568710327148,3.5199966329196712,2.0
29,23_296293_295911_5,Naive,0.03179187492367316,305712.7099967599,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,4.989442586898804,13.229996759931964,
30,25_34746_33665_4,DirectionalIncentive_0.0,-0.1019403672567273,31203.979999297753,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,323.86392879486084,0.2899967647548607,0.0
31,25_34746_33665_4,DirectionalIncentive_25.0,-0.08428106841877599,31817.56999672121,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,28.517104387283325,0.059996721209433446,0.25
32,25_34746_33665_4,DirectionalIncentive_50.0,-0.07374748275732632,32183.56996411394,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,28.724595546722412,2.0599578995924475,0.5
33,25_34746_33665_4,DirectionalIncentive_75.0,-0.0710645838700132,32276.78996885252,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,30.784636735916138,3.6999475368957224,0.75
34,25_34746_33665_4,DirectionalIncentive_100.0,-0.07565216249077587,32117.3899620955,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,27.843660354614258,0.31996209550064947,1.0
35,25_34746_33665_4,DirectionalIncentive_125.0,-0.07137368389465155,32266.049979396437,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,28.821895599365234,3.1199668755398253,1.25
36,25_34746_33665_4,DirectionalIncentive_150.0,-0.0709949352452937,32279.209979967025,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,31.759896993637085,1.3299571659710487,1.5
37,25_34746_33665_4,DirectionalIncentive_175.0,-0.06888102269477117,32352.65998544748,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,44.113776206970215,3.5599787710607345,1.75
38,25_34746_33665_4,DirectionalIncentive_200.0,-0.07219363426720213,32237.559983751795,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,47.30744194984436,0.8899837517967342,2.0
39,25_34746_33665_4,Naive,-0.08392563241322983,31829.919976169916,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,5.055652141571045,0.5999761699163173,
40,28_78940_77433_3,DirectionalIncentive_0.0,-0.0589478084624125,74286.65999997716,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Infeasible,220.3746988773346,21.73999997716338,0.0
41,28_78940_77433_3,DirectionalIncentive_25.0,0.04166835563254981,82229.29999363348,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,46.33628511428833,0.40998929197551703,0.25
42,28_78940_77433_3,DirectionalIncentive_50.0,0.041418925680290125,82209.6099932021,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,44.89790081977844,1.1799932021029562,0.5
43,28_78940_77433_3,DirectionalIncentive_75.0,0.0406135038385808,82146.02999301757,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,40.179463148117065,0.34999225063704387,0.75
44,28_78940_77433_3,DirectionalIncentive_100.0,0.03931378255903915,82043.42999521055,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,37.26526474952698,0.6299952105545046,1.0
45,28_78940_77433_3,DirectionalIncentive_125.0,0.039898910409351666,82089.61998771422,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,54.657713413238525,0.19998259785918115,1.25
46,28_78940_77433_3,DirectionalIncentive_150.0,0.03988864945836036,82088.80998824297,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,42.40724325180054,0.37998319963829985,1.5
47,28_78940_77433_3,DirectionalIncentive_175.0,0.039781352799888016,82080.33999002316,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,37.6067099571228,7.759986587482604,1.75
48,28_78940_77433_3,DirectionalIncentive_200.0,0.0385125411536703,81980.17999867073,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,33.409547090530396,5.0399949747226716,2.0
49,28_78940_77433_3,Naive,0.03960045584373619,82066.05998430453,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,5.134054660797119,0.4199843045389571,
50,31_92830_91987_3,DirectionalIncentive_0.0,-0.2414831412733576,70413.11999559421,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Infeasible,309.998984336853,2.2099700116092578,0.0
51,31_92830_91987_3,DirectionalIncentive_25.0,-0.03388473586796682,89684.47996937664,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Infeasible,18.475102186203003,39.74996937663427,0.25
52,31_92830_91987_3,DirectionalIncentive_50.0,-0.022235376839651686,90765.88996797513,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,18.39747929573059,1.4799617282870656,0.5
53,31_92830_91987_3,DirectionalIncentive_75.0,-0.022207476367707153,90768.47996878574,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,17.88259792327881,0.1499687857343055,0.75
54,31_92830_91987_3,DirectionalIncentive_100.0,-0.022262630922987883,90763.35997141903,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,18.60204005241394,1.6999651720154283,1.0
55,31_92830_91987_3,DirectionalIncentive_125.0,-0.02227674277916682,90762.04996780994,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,17.603262186050415,0.3899615628335553,1.25
56,31_92830_91987_3,DirectionalIncentive_150.0,-0.021876333445605595,90799.21996624443,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,18.354026079177856,0.7599662444229551,1.5
57,31_92830_91987_3,DirectionalIncentive_175.0,-0.022429495053256,90747.86997420625,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,17.95566201210022,0.8299742062492328,1.75
58,31_92830_91987_3,DirectionalIncentive_200.0,-0.022373586496154858,90753.05996556194,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,17.821260929107666,1.059959314210193,2.0
59,31_92830_91987_3,Naive,-0.0193003341039091,91038.34998513412,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,5.2099387645721436,2.5299851341184194,
60,34_231117_230339_3,DirectionalIncentive_0.0,0.17622052899584703,271844.5599999332,231117.0,34,0.0002774984387794901,231117,3,7.024910845683938,Complete,158.51317262649536,0.32999993319423204,0.0
61,34_231117_230339_3,DirectionalIncentive_25.0,0.008933700148099823,233181.7299771284,231117.0,34,0.0002774984387794901,231117,3,7.024910845683938,Complete,103.18284130096436,0.44997712838214454,0.25
62,34_231117_230339_3,DirectionalIncentive_50.0,0.003988672351376663,232038.84998783312,231117.0,34,0.0002774984387794901,231117,3,7.024910845683938,Complete,144.5857536792755,1.889987833096999,0.5
63,34_231117_230339_3,DirectionalIncentive_75.0,0.0034760748595435978,231920.37999331314,231117.0,34,0.0002774984387794901,231117,3,7.024910845683938,Complete,84.78160071372986,1.549986677255223,0.75
64,34_231117_230339_3,DirectionalIncentive_100.0,0.0072538151002402036,232793.47998452222,231117.0,34,0.0002774984387794901,231117,3,7.024910845683938,Complete,78.00268006324768,2.2599845221966817,1.0
65,34_231117_230339_3,DirectionalIncentive_125.0,0.007335029396784057,232812.24998909654,231117.0,34,0.0002774984387794901,231117,3,7.024910845683938,Complete,86.77384662628174,3.0099890965170317,1.25
66,34_231117_230339_3,DirectionalIncentive_150.0,0.00357671651912176,231943.63999174986,231117.0,34,0.0002774984387794901,231117,3,7.024910845683938,Complete,36.90912437438965,5.949991749862946,1.5
67,34_231117_230339_3,DirectionalIncentive_175.0,0.0072498344180553604,232792.5599811977,231117.0,34,0.0002774984387794901,231117,3,7.024910845683938,Complete,53.5742027759552,2.2299811977140678,1.75
68,34_231117_230339_3,DirectionalIncentive_200.0,0.007267401277467168,232796.61998104438,231117.0,34,0.0002774984387794901,231117,3,7.024910845683938,Complete,47.26550531387329,0.5399810443645094,2.0
69,34_231117_230339_3,Naive,0.0003042181857301158,231187.3099944314,231117.0,34,0.0002774984387794901,231117,3,7.024910845683938,Complete,5.286407947540283,0.9299944313773949,
70,39_114671_113842_6,DirectionalIncentive_0.0,-0.02421798013640937,111893.8999997778,114671.0,39,0.00018154284020777836,114671,6,7.671814583192987,Infeasible,208.05035948753357,16.09994929678654,0.0
71,39_114671_113842_6,DirectionalIncentive_25.0,-0.008727577481434455,113670.19996262643,114671.0,39,0.00018154284020777836,114671,6,7.671814583192987,Infeasible,20.910608530044556,1.0699626274483016,0.25
72,39_114671_113842_6,DirectionalIncentive_50.0,0.028351195623730435,117922.0599533688,114671.0,39,0.00018154284020777836,114671,6,7.671814583192987,Complete,66.14073181152344,3.9699158694544323,0.5
73,39_114671_113842_6,DirectionalIncentive_75.0,0.029199274095198062,118019.30995977046,114671.0,39,0.00018154284020777836,114671,6,7.671814583192987,Complete,70.3054428100586,0.4599277926148915,0.75
74,39_114671_113842_6,DirectionalIncentive_100.0,0.029223604581097642,118022.09996091905,114671.0,39,0.00018154284020777836,114671,6,7.671814583192987,Complete,47.89972805976868,0.15992889112264663,1.0
75,39_114671_113842_6,DirectionalIncentive_125.0,0.02915008991648319,118013.66996081304,114671.0,39,0.00018154284020777836,114671,6,7.671814583192987,Complete,24.67476534843445,3.2399288845372,1.25
76,39_114671_113842_6,DirectionalIncentive_150.0,0.029097766323406764,118007.66996207138,114671.0,39,0.00018154284020777836,114671,6,7.671814583192987,Complete,22.5027117729187,2.729930090399023,1.5
77,39_114671_113842_6,DirectionalIncentive_175.0,0.029097766323406764,118007.66996207138,114671.0,39,0.00018154284020777836,114671,6,7.671814583192987,Complete,22.801266193389893,2.729930090399023,1.75
78,39_114671_113842_6,DirectionalIncentive_200.0,0.029097766323406764,118007.66996207138,114671.0,39,0.00018154284020777836,114671,6,7.671814583192987,Complete,22.9610435962677,2.729930090399023,2.0
79,39_114671_113842_6,Naive,0.026989299581592824,117765.88997232083,114671.0,39,0.00018154284020777836,114671,6,7.671814583192987,Complete,5.364044427871704,3.8399723208306114,
80,44_106376_105744_5,DirectionalIncentive_0.0,0.0592331916973754,112676.99,106376.0,44,0.0002725148155122768,106376,5,9.846632153682782,Complete,876.623957157135,2.316255631740205e-09,0.0
81,44_106376_105744_5,DirectionalIncentive_25.0,-0.0043579379371741275,105912.41999399516,106376.0,44,0.0002725148155122768,106376,5,9.846632153682782,Complete,102.05647778511047,0.07999399515892947,0.25
82,44_106376_105744_5,DirectionalIncentive_50.0,-0.0038068737934487586,105971.0399933481,106376.0,44,0.0002725148155122768,106376,5,9.846632153682782,Complete,334.9510679244995,0.01998697844018693,0.5
83,44_106376_105744_5,DirectionalIncentive_75.0,-0.004700966483996818,105875.92998929835,106376.0,44,0.0002725148155122768,106376,5,9.846632153682782,Complete,210.25192856788635,5.38998056170567,0.75
84,44_106376_105744_5,DirectionalIncentive_100.0,-0.00504324299875841,105839.51998276408,106376.0,44,0.0002725148155122768,106376,5,9.846632153682782,Complete,297.61541533470154,5.769979079255096,1.0
85,44_106376_105744_5,DirectionalIncentive_125.0,-0.006398341816758266,105695.36999090052,106376.0,44,0.0002725148155122768,106376,5,9.846632153682782,Complete,242.84239673614502,0.6199909005241864,1.25
86,44_106376_105744_5,DirectionalIncentive_150.0,-0.004734808709688562,105872.32998869817,106376.0,44,0.0002725148155122768,106376,5,9.846632153682782,Complete,122.15195393562317,1.7899800084665856,1.5
87,44_106376_105744_5,DirectionalIncentive_175.0,-0.004606772282576042,105885.94999166869,106376.0,44,0.0002725148155122768,106376,5,9.846632153682782,Complete,237.5435106754303,0.33998077179625597,1.75
88,44_106376_105744_5,DirectionalIncentive_200.0,-0.004536549638143339,105893.41999569286,106376.0,44,0.0002725148155122768,106376,5,9.846632153682782,Complete,233.21674799919128,0.339995692850934,2.0
89,44_106376_105744_5,Naive,-0.0016145561441922788,106204.2499756054,106376.0,44,0.0002725148155122768,106376,5,9.846632153682782,Complete,5.372761011123657,0.019975605394847662,
90,47_293577_290377_7,DirectionalIncentive_0.0,-0.02449715066234729,286385.20000000007,293577.0,47,0.00021818468803239414,293577,7,8.429393836522513,Infeasible,223.89304423332214,5.200000000069849,0.0
91,47_293577_290377_7,DirectionalIncentive_25.0,0.07038909722488006,314241.6199959886,293577.0,47,0.00021818468803239414,293577,7,8.429393836522513,Complete,28.940669536590576,3.7499959885936036,0.25
92,47_293577_290377_7,DirectionalIncentive_50.0,0.044856988095053375,306745.9799939815,293577.0,47,0.00021818468803239414,293577,7,8.429393836522513,Complete,76.37336134910583,1.8999939815167721,0.5
93,47_293577_290377_7,DirectionalIncentive_75.0,0.04484724617562373,306743.1199905011,293577.0,47,0.00021818468803239414,293577,7,8.429393836522513,Complete,56.97217798233032,3.1999905010424925,0.75
94,47_293577_290377_7,DirectionalIncentive_100.0,0.04476406527531577,306718.6999913314,293577.0,47,0.00021818468803239414,293577,7,8.429393836522513,Complete,36.38968896865845,2.0099913313422633,1.0
95,47_293577_290377_7,DirectionalIncentive_125.0,0.04469222722881187,306697.6099931529,293577.0,47,0.00021818468803239414,293577,7,8.429393836522513,Complete,51.61118793487549,2.2299908476659738,1.25
96,47_293577_290377_7,DirectionalIncentive_150.0,0.04469222722881187,306697.6099931529,293577.0,47,0.00021818468803239414,293577,7,8.429393836522513,Complete,44.30396008491516,2.2299908476659738,1.5
97,47_293577_290377_7,DirectionalIncentive_175.0,0.04467792093018226,306693.4099929201,293577.0,47,0.00021818468803239414,293577,7,8.429393836522513,Complete,42.83540987968445,10.01999292012664,1.75
98,47_293577_290377_7,DirectionalIncentive_200.0,0.0447615105846853,306717.94999292016,293577.0,47,0.00021818468803239414,293577,7,8.429393836522513,Complete,36.812471866607666,0.45999292012402293,2.0
99,47_293577_290377_7,Naive,0.04263072375026969,306092.3999864329,293577.0,47,0.00021818468803239414,293577,7,8.429393836522513,Complete,5.364168167114258,0.9299864329013872,
0,20_103007_102124_7,Directional,0.008550098536992502,103887.71999999999,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,19.33147621154785,174.37999999999465,
1,21_333363_332427_2,Directional,-0.012019960223539959,329355.99000000005,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,19.171202898025513,72.38000000003058,
2,23_296293_295911_5,Directional,0.03544839061334533,306796.1099999999,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,19.268926858901978,4.919999999968411,
3,25_34746_33665_4,Directional,-0.07628043515800387,32095.559999999998,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,19.442675352096558,102.00999999999749,
4,28_78940_77433_3,Directional,0.0420699265264758,82261.0,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,19.84092426300049,754.9600000000064,
5,31_92830_91987_3,Directional,-0.025145750296240426,90495.72,92830.0,31,0.00016759639045770252,92830,3,8.59016499168368,Complete,19.577642679214478,55.32999999999811,
6,34_231117_230339_3,Directional,0.0018432655321762579,231543.00999999998,231117.0,34,0.0002774984387794901,231117,3,7.024910845683938,Complete,20.253788471221924,147.93999999998232,
7,39_114671_113842_6,Directional,0.02579353105841934,117628.77,114671.0,39,0.00018154284020777836,114671,6,7.671814583192987,Complete,20.479904174804688,487.2700000000077,
8,44_106376_105744_5,Directional,-0.001045912611867426,106264.73999999999,106376.0,44,0.0002725148155122768,106376,5,9.846632153682782,Complete,20.525169134140015,240.1299999999968,
9,47_293577_290377_7,Directional,0.049963927691883056,308245.25999999995,293577.0,47,0.00021818468803239414,293577,7,8.429393836522513,Complete,20.624074935913086,1435.1500000000135,
